"kurskod","namn","kommentar","signatur","spec_benämning","api_url"
"O7088H","Distriktssköterskeprofessionens grunder - kärnkompetenser, teoretiska perspektiv och ledarskap","50% Lp1 Luleå","14004-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv4Q023gZ6y5Y855776Y76Y.json"
"W0011E","Drift av molntjänster","50% Lp2 Skellefteå","27683-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv2Q043gZ6y5Y855676Y76Y.json"
"D0004B","Drift och underhåll - Hydropower","50% Lp4 Skellefteå 2+4","45082-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv1Q023gZ6y5Y355176Y76Y.json"
"D0004B","Drift och underhåll - Hydropower","50% Lp4 Luleå 2+4","45116-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv8Q033gZ6y5Y355276Y76Y.json"
"D0002B","Drift och underhåll","50% Lp3 Luleå 1+4","35503-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv5Q053gZ6y5Y355076Y76Y.json"
"D7004B","Drift och underhållsteknik","50% Lp1 Luleå 2+5","15659-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv3Q033gZ6y5Y855776Y76Y.json"
"M7010T","Dynamik i mekaniska system","50% Lp4 Luleå 2","48872-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv5Q033gZ6y5Y355176Y76Y.json"
"R7016E","Dynamiska system","50% Lp1 Luleå 3+5","17320-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv6Q093gZ6y5Y855976Y76Y.json"
"H0014H","E-hälsopromotion","50% Lp2 Luleå","23673-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv3Q083gZ6y5Y955076Y76Y.json"
"U7002T","EEIGM Utlandsstudier åk4 vt","100% Lp3-4 Luleå","38970-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv3Q043gZ6y5Y255276Y76Y.json"
"U0003T","EEIGM-elever i åk 3 och ht i åk4","100% Lp1-2 Luleå","18330-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv4Q093gZ6y5Y855076Y76Y.json"
"O0014N","Effektivt ledarskap","25% Lp1-2 Luleå","10167-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv8Q083gZ6y5Y955076Y76Y.json"
"S0024F","Efterbearbetning 5.1","50% Lp3 Piteå A+B","30568-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv1Q033gZ6y5Y255476Y76Y.json"
"N0005P","Ekologi och miljökunskap","50% Lp1 Luleå","14005-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv4Q023gZ6y5Y855876Y76Y.json"
"N0028N","Ekonometri","50% Lp2 Luleå 4+5+6","20258-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv8Q013gZ6y5Y955376Y76Y.json"
"O0038K","Ekonomisk geologi","50% Lp3 Luleå 4+5","35517-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv4Q053gZ6y5Y355776Y76Y.json"
"W7020T","El- och energimarknader","50% Lp2 Skellefteå","28833-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv6Q003gZ6y5Y955276Y76Y.json"
"D0122G","Elbas 1, jazz- och rockinriktning","25% Lp1-2 Piteå","10186-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv3Q053gZ6y5Y955676Y76Y.json"
"D0122G","Elbas 1, jazz- och rockinriktning","25% Lp1-2 Piteå","10914-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv7Q073gZ6y5Y955676Y76Y.json"
"D0122G","Elbas 1, jazz- och rockinriktning","25% Lp3-4 Piteå","30063-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv5Q073gZ6y5Y355176Y76Y.json"
"D0123G","Elbas 2, jazz- och rockinriktning","25% Lp1-2 Piteå","10187-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv7Q073gZ6y5Y955776Y76Y.json"
"D0123G","Elbas 2, jazz- och rockinriktning","25% Lp1-2 Piteå","10188-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv3Q053gZ6y5Y955776Y76Y.json"
"D0123G","Elbas 2, jazz- och rockinriktning","25% Lp3-4 Piteå","30064-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv5Q073gZ6y5Y355276Y76Y.json"
"D0133G","Elbas 3, jazz- och rockinriktning","25% Lp1-2 Piteå","10189-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv8Q073gZ6y5Y955576Y76Y.json"
"D0133G","Elbas 3, jazz- och rockinriktning","25% Lp1-2 Piteå","10190-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv3Q053gZ6y5Y955876Y76Y.json"
"D0133G","Elbas 3, jazz- och rockinriktning","25% Lp3-4 Piteå","30072-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv6Q073gZ6y5Y355176Y76Y.json"
"D0141G","Elbas 4, jazz- och rockinriktning","25% Lp1-2 Piteå","10191-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv8Q073gZ6y5Y955176Y76Y.json"
"D0141G","Elbas 4, jazz- och rockinriktning","25% Lp3-4 Piteå","30078-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv7Q073gZ6y5Y355576Y76Y.json"
"X0020T","Eldistribution","50% Lp3 Skellefteå","08034-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv2Q093gZ6y5Y355876Y76Y.json"
"W0022T","Eldistribution","50% Lp3 Ortsoberoende","38004-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv7Q003gZ6y5Y355376Y76Y.json"
"W0022T","Eldistribution","50% Lp3 Skellefteå","38976-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv7Q003gZ6y5Y355276Y76Y.json"
"E7033E","Elektriska apparater","50% Lp3 Skellefteå","37778-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv0Q053gZ6y5Y355676Y76Y.json"
"E0015E","Elektriska drivsystem","50% Lp4 Luleå","47036-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv3Q033gZ6y5Y355576Y76Y.json"
"F0056T","Elektromagnetisk fältteori och elektromekaniska system","50% Lp3 Luleå 1+6","38953-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv8Q033gZ6y5Y255976Y76Y.json"
"F0007T","Elektromagnetisk fältteori","50% Lp3 Luleå 1+6","38985-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv7Q053gZ6y5Y355576Y76Y.json"
"E0007E","Elektronik","50% Lp3 Luleå 3+4","37750-V24.1","Grupp A","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv9Q093gZ6y5Y455876Y76Y.json"
"E0007E","Elektronik","50% Lp3 Luleå 3+4","37750-V24.2","Grupp B","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv9Q093gZ6y5Y455976Y76Y.json"
"E0007E","Elektronik","50% Lp3 Luleå 3+4","37750-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv7Q033gZ6y5Y255376Y76Y.json"
"E7009E","Elektronikkonstruktion","50% Lp1 Luleå 4+5","17322-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv6Q093gZ6y5Y855176Y76Y.json"
"E7030E","Elektroniksystem","50% Lp2 Luleå 1+6","27663-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv5Q073gZ6y5Y955176Y76Y.json"
"F0054T","Elektroteknik och elfältteori","50% Lp1 Luleå 1+5","18305-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv9Q093gZ6y5Y855276Y76Y.json"
"W0013T","Elkraftteknik, introduktion","50% Lp1 Skellefteå","18321-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv2Q093gZ6y5Y855876Y76Y.json"
"W0023T","Elkraftöverföring","50% Lp1 Skellefteå","18043-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv3Q093gZ6y5Y855476Y76Y.json"
"W0023T","Elkraftöverföring","50% Lp1 Ortsoberoende","18329-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv3Q093gZ6y5Y855376Y76Y.json"
"E0003E","Elkretsteori","50% Lp2 Luleå 1+5","27700-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv4Q043gZ6y5Y855776Y76Y.json"
"W0032T","Elkvalitet och elsäkerhet","50% Lp4 Skellefteå","48881-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv7Q043gZ6y5Y355576Y76Y.json"
"F0061T","Ellära och termodynamik","50% Lp4 Skellefteå","48855-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv5Q023gZ6y5Y355276Y76Y.json"
"W0024T","Elmarknader och elkvalitet","50% Lp3 Ortsoberoende","38977-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv7Q003gZ6y5Y355476Y76Y.json"
"W7010T","Elnät 1","50% Lp3 Skellefteå","38982-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv0Q053gZ6y5Y355576Y76Y.json"
"W7015T","Elnät 2","50% Lp4 Skellefteå","48859-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv9Q023gZ6y5Y355976Y76Y.json"
"W7016T","EMC, elkvalitet och tillförlitlighet","50% Lp1 Skellefteå","17286-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv3Q083gZ6y5Y855676Y76Y.json"
"E7031E","EMC-teknologi","50% Lp3 Luleå 3+6","37764-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv2Q043gZ6y5Y255076Y76Y.json"
"S7006P","En främjande kommunikativ lärmiljö för skolutveckling","50% Lp1-2 Luleå","13963-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv9Q023gZ6y5Y855976Y76Y.json"
"F7039T","Energieffektiva byggnader","50% Lp3 Luleå 2+6","38989-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv7Q053gZ6y5Y355276Y76Y.json"
"F7013T","Energiteknik, huvudkurs","50% Lp1-2 Luleå","18290-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv8Q093gZ6y5Y855676Y76Y.json"
"F7011T","Energitekniska anläggningar och system","50% Lp2 Luleå 2+6","28818-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv5Q003gZ6y5Y955876Y76Y.json"
"W0020T","Energitekniska anläggningar","50% Lp2 Skellefteå","28831-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv6Q003gZ6y5Y955176Y76Y.json"
"F0057T","Energitekniska komponenter","50% Lp2 Luleå 3+6","28830-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv6Q003gZ6y5Y955976Y76Y.json"
"E0024S","Engelska 1","100% Lp1-2 Ortsoberoende","14067-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv7Q043gZ6y5Y855976Y76Y.json"
"E0025S","Engelska 2","100% Lp3-4 Ortsoberoende","33007-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv7Q063gZ6y5Y355176Y76Y.json"
"E0027S","Engelska 3: Examensarbete för kandidatuppsats","50% Lp3-4 Ortsoberoende","33008-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv5Q093gZ6y5Y355076Y76Y.json"
"E0026S","Engelska 3: Lingvistik och litteratur","50% Lp1-2 Ortsoberoende","14070-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv7Q043gZ6y5Y855476Y76Y.json"
"E7003S","Engelska 4: Introduktion till engelska med didaktisk inriktning","25% Lp1-2 Ortsoberoende","14065-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv1Q063gZ6y5Y955576Y76Y.json"
"E0015P","Engelska 5 för ämneslärare gymnasiet","100% Lp4-1 Luleå","43533-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv8Q023gZ6y5Y355576Y76Y.json"
"U0004S","Engelska för grundlärare 4-6, del 1","100% Lp4 Luleå","43546-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv6Q033gZ6y5Y355876Y76Y.json"
"E0003P","Engelska för grundlärare 4-6, del 2","100% Lp2 Luleå","23678-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv3Q083gZ6y5Y955976Y76Y.json"
"U0003S","Engelska för grundlärare F-3, del 1","100% Lp4 Luleå","43545-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv6Q033gZ6y5Y355776Y76Y.json"
"E0002P","Engelska för grundlärare F-3, del 2","100% Lp2 Luleå","23675-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv3Q083gZ6y5Y955676Y76Y.json"
"E0030S","Engelska för utbytesstudenter 2","50% Lp2 Luleå","23692-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv3Q093gZ6y5Y955376Y76Y.json"
"E0019S","Engelska i tal och skrift för utbytesstudenter 1","50% Lp1 Luleå","14048-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv9Q063gZ6y5Y955676Y76Y.json"
"E0019S","Engelska i tal och skrift för utbytesstudenter 1","50% Lp3 Luleå","33005-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv9Q093gZ6y5Y355376Y76Y.json"
"E0009S","English for Professional Purposes","50% Lp2 Luleå","23662-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv1Q083gZ6y5Y955476Y76Y.json"
"E0009S","English for Professional Purposes","50% Lp4 Luleå","43543-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv2Q023gZ6y5Y355976Y76Y.json"
"B0004K","Enhetsoperationer","50% Lp2 Luleå 1+4+5","25845-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv4Q083gZ6y5Y955176Y76Y.json"
"E0020G","Ensembleledning I","25% Lp1-2 Piteå","10192-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv3Q053gZ6y5Y955976Y76Y.json"
"E0020G","Ensembleledning I","25% Lp1-2 Piteå","10915-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv2Q073gZ6y5Y955876Y76Y.json"
"E0020G","Ensembleledning I","25% Lp3-4 Piteå","30105-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv9Q073gZ6y5Y355476Y76Y.json"
"E0021G","Ensembleledning II","25% Lp1-2 Piteå","10193-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv2Q073gZ6y5Y955976Y76Y.json"
"E0021G","Ensembleledning II","25% Lp1-2 Piteå","10194-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv3Q053gZ6y5Y955176Y76Y.json"
"E0021G","Ensembleledning II","25% Lp3-4 Piteå","30106-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv1Q073gZ6y5Y355076Y76Y.json"
"D0031N","Enterprise Architecture och SOA","50% Lp1-2 Luleå","17052-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv0Q093gZ6y5Y855676Y76Y.json"
"D0031N","Enterprise Architecture och SOA","50% Lp1-2 Ortsoberoende","17301-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv0Q093gZ6y5Y855576Y76Y.json"
"U0021N","Entreprenadjuridik  ","Lp3 Luleå ","00587-V23.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ720Z50Qv6Q093gZ6y5Y955776Y76Y.json"
"J0001N","Entreprenadjuridik","50% Lp3 Luleå 2","30673-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv9Q053gZ6y5Y355976Y76Y.json"
"E0001N","Entreprenöriellt lärande","50% Lp2 Luleå","20273-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv9Q093gZ6y5Y955976Y76Y.json"
"A0015A","Ergonomi 1","50% Lp3 Luleå 2+5","30585-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv7Q043gZ6y5Y255676Y76Y.json"
"A7013A","Ergonomi 2","50% Lp4 Luleå 2+3","40386-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv8Q013gZ6y5Y355376Y76Y.json"
"A0017A","Ergonomi och kognition","50% Lp4 Luleå","40392-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv1Q013gZ6y5Y355476Y76Y.json"
"B7008H","Evidensbaserad psykoterapi","50% Lp1 Luleå","04498-H23.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv7Q083gZ6y5Y555576Y76Y.json"
"P7001H","Evidensbaserad psykoterapi","50% Lp1-2 Luleå","13954-H23.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv6Q093gZ6y5Y055376Y76Y.json"
"P7001H","Evidensbaserad psykoterapi","50% Lp1-2 Luleå","14072-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv4Q063gZ6y5Y955976Y76Y.json"
"D7059E","Examensarbete - Data Science","100% Lp4 Ortsoberoende","47034-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv2Q033gZ6y5Y355476Y76Y.json"
"D7059E","Examensarbete - Data Science","100% Lp4 Luleå","47035-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv3Q033gZ6y5Y355076Y76Y.json"
"P7003R","Examensarbete - rymdteknik","100% Lp1-2 Kiruna","17128-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv1Q053gZ6y5Y955876Y76Y.json"
"P7003R","Examensarbete - rymdteknik","100% Lp3-4 Kiruna","37128-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv4Q063gZ6y5Y355576Y76Y.json"
"D0032N","Examensarbete - systemvetenskap","50% Lp3-4 Luleå","37022-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv8Q063gZ6y5Y355376Y76Y.json"
"D0032N","Examensarbete - systemvetenskap","50% Lp3-4 Ortsoberoende","37024-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv8Q063gZ6y5Y355476Y76Y.json"
"Y0011B","Examensarbete Bygg och anläggning","50% Lp2 Luleå","25009-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv1Q093gZ6y5Y955576Y76Y.json"
"E7008N","Examensarbete civilekonom, inriktning företagsekonomi, specialisering ledarskap och affärsutveckling","100% Lp3-4 Luleå","30022-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv3Q083gZ6y5Y355776Y76Y.json"
"E7008N","Examensarbete civilekonom, inriktning företagsekonomi, specialisering ledarskap och affärsutveckling","100% Lp3-4 Luleå","30625-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv5Q003gZ6y5Y355576Y76Y.json"
"M7039N","Examensarbete civilekonom, inriktning företagsekonomi, specialisering marknadsföring","100% Lp3-4 Luleå","30048-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv4Q083gZ6y5Y355776Y76Y.json"
"M7039N","Examensarbete civilekonom, inriktning företagsekonomi, specialisering marknadsföring","100% Lp3-4 Luleå","30582-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv6Q043gZ6y5Y255376Y76Y.json"
"R7012N","Examensarbete civilekonom, inriktning företagsekonomi, specialisering redovisning och styrning","100% Lp3-4 Luleå","30051-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv4Q083gZ6y5Y355976Y76Y.json"
"R7012N","Examensarbete civilekonom, inriktning företagsekonomi, specialisering redovisning och styrning","100% Lp3-4 Luleå","30583-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv6Q043gZ6y5Y255476Y76Y.json"
"N7009N","Examensarbete civilekonom, inriktning nationalekonomi","100% Lp3-4 Luleå","30584-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv7Q043gZ6y5Y255076Y76Y.json"
"N7009N","Examensarbete civilekonom, inriktning nationalekonomi","100% Lp3-4 Luleå","30719-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv0Q093gZ6y5Y355176Y76Y.json"
"W0042F","Examensarbete digital design","100% Lp1-2 Skellefteå","17101-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv9Q053gZ6y5Y955076Y76Y.json"
"W0042F","Examensarbete digital design","100% Lp3-4 Skellefteå","37099-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv2Q063gZ6y5Y355876Y76Y.json"
"W0041F","Examensarbete filmdesign","100% Lp1-2 Skellefteå","17100-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv8Q053gZ6y5Y955476Y76Y.json"
"W0041F","Examensarbete filmdesign","100% Lp3-4 Skellefteå","37098-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv2Q063gZ6y5Y355776Y76Y.json"
"X7007B","Examensarbete för Brandingenjörsexamen","50% Lp1-2 Luleå","15662-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv3Q033gZ6y5Y855176Y76Y.json"
"X7007B","Examensarbete för Brandingenjörsexamen","50% Lp3-4 Luleå","35012-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv2Q083gZ6y5Y355176Y76Y.json"
"H0054N","Examensarbete historia, kandidat","50% Lp1-2 Ortsoberoende","10328-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv8Q083gZ6y5Y955576Y76Y.json"
"H7004N","Examensarbete historia, magister","100% Lp4 Ortsoberoende","40024-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv3Q033gZ6y5Y355176Y76Y.json"
"X7005B","Examensarbete i Arkitektur, inriktning Husbyggnad, civilingenjör","100% Lp1-2 Luleå","15670-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv5Q053gZ6y5Y955176Y76Y.json"
"X7005B","Examensarbete i Arkitektur, inriktning Husbyggnad, civilingenjör","100% Lp3-4 Luleå","35468-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv5Q043gZ6y5Y255776Y76Y.json"
"X7008B","Examensarbete i Arkitektur, inriktning Stadsbyggnad, civilingenjör","100% Lp1-2 Luleå","15011-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv5Q053gZ6y5Y955376Y76Y.json"
"X7008B","Examensarbete i Arkitektur, inriktning Stadsbyggnad, civilingenjör","100% Lp3-4 Luleå","35474-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv5Q043gZ6y5Y255476Y76Y.json"
"X7013K","Examensarbete i Arktiska mineralresurser, inriktning Mineralentreprenörskap, master","100% Lp3-4 Luleå","35529-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv9Q093gZ6y5Y355776Y76Y.json"
"X7014K","Examensarbete i Arktiska mineralresurser, inriktning Mineralresurshantering, master","100% Lp3-4 Luleå","35530-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv9Q093gZ6y5Y355876Y76Y.json"
"X7013E","Examensarbete i artificiell intelligens","100% Lp3-4 Luleå","37799-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv1Q093gZ6y5Y355576Y76Y.json"
"X7013E","Examensarbete i artificiell intelligens","100% Lp3-4 Ortsoberoende","37800-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv1Q093gZ6y5Y355676Y76Y.json"
"E0002T","Examensarbete i Bilsystemteknik, högskoleingenjör","100% Lp1 Luleå","18008-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv3Q063gZ6y5Y955976Y76Y.json"
"E0002T","Examensarbete i Bilsystemteknik, högskoleingenjör","50% Lp3-4 Luleå","38029-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv5Q093gZ6y5Y355176Y76Y.json"
"E0002T","Examensarbete i Bilsystemteknik, högskoleingenjör","100% Lp4 Luleå","48021-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv0Q043gZ6y5Y355276Y76Y.json"
"U7027P","Examensarbete i dans, ämneslärarexamen, inriktning mot gymnasieskolan","100% Lp3-4 Piteå","30561-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv8Q033gZ6y5Y255376Y76Y.json"
"X0001E","Examensarbete i datateknik","100% Lp1 Luleå","17104-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv9Q053gZ6y5Y955576Y76Y.json"
"X0001E","Examensarbete i datateknik","100% Lp4 Luleå","47050-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv7Q033gZ6y5Y355976Y76Y.json"
"X7008E","Examensarbete i datateknik, inriktning  Inbyggda system, civilingenjör","100% Lp1-2 Luleå","17108-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv9Q053gZ6y5Y955976Y76Y.json"
"X7008E","Examensarbete i datateknik, inriktning  Inbyggda system, civilingenjör","100% Lp3-4 Luleå","37102-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv2Q063gZ6y5Y355276Y76Y.json"
