"kurskod","namn","kommentar","signatur","spec_benämning","api_url"
"A0042H","Arbetsterapi: Verksamhetsförlagd utbildning 3","50% Lp4 Luleå","43542-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv1Q023gZ6y5Y355676Y76Y.json"
"A0050H","Arbetsterapi: Verksamhetsförlagd utbildning, del 1","50% Lp1 Luleå","14074-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv0Q073gZ6y5Y955876Y76Y.json"
"A0050H","Arbetsterapi: Verksamhetsförlagd utbildning, del 1","50% Lp3 Luleå","33286-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv1Q093gZ6y5Y355976Y76Y.json"
"A0051H","Arbetsterapi: Verksamhetsförlagd utbildning, Del 2","100% Lp1 Luleå","14040-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv3Q033gZ6y5Y855476Y76Y.json"
"L0021B","ArcGIS Pro","50% Lp2 Ortsoberoende","25017-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv2Q093gZ6y5Y955076Y76Y.json"
"L0021B","ArcGIS Pro","50% Lp2 Ortsoberoende","25018-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv2Q093gZ6y5Y955576Y76Y.json"
"L0021B","ArcGIS Pro","50% Lp4 Ortsoberoende","45113-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv9Q033gZ6y5Y355476Y76Y.json"
"L0021B","ArcGIS Pro","50% Lp4 Ortsoberoende","45114-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv1Q033gZ6y5Y355076Y76Y.json"
"L0005B","ArcGIS","50% Lp1 Ortsoberoende","15057-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv4Q003gZ6y5Y955276Y76Y.json"
"L0005B","ArcGIS","50% Lp1 Ortsoberoende","15058-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv4Q003gZ6y5Y955376Y76Y.json"
"L0005B","ArcGIS","50% Lp1 Ortsoberoende","15644-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv2Q033gZ6y5Y855576Y76Y.json"
"L0005B","ArcGIS","50% Lp4 Ortsoberoende","45090-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv0Q033gZ6y5Y355976Y76Y.json"
